Entity Name	Legal Name	Ultimate Parent	Parent Domicile (ISO alpha-2)	Is Public (Y/N)	Stock Exchange (N/A if private)	Ticker	ISIN (N/A if unavailable)	Source	Notes
TC Energy Corporation	TC Energy Corporation	TC Energy Corporation	CA	Y	TSX	TRP	CA87807B1076	TSX Filings	Formerly TransCanada. Spun off South Bow (Liquids Pipelines) in Oct 2024.
Saint-Gobain SA	Compagnie de Saint-Gobain S.A.	Compagnie de Saint-Gobain S.A.	FR	Y	Euronext Paris	SGO	FR0000125007	Euronext	Founded in 1665; leading French multinational in construction and high-performance materials.
Fresenius SE & Co KGaA	Fresenius SE & Co. KGaA	Else Kröner-Fresenius-Stiftung	DE	Y	XETRA	FRE	DE0005785604	Deutsche Börse	Healthcare conglomerate. Majority owner of Fresenius Medical Care (FME).
State Bank of India	State Bank of India	Government of India	IN	Y	NSE	SBIN	INE062A01020	NSE India	Largest public sector bank in India. Statutory body under the SBI Act 1955.
Samsung Biologics Co Ltd	Samsung Biologics Co., Ltd.	Samsung Electronics / Samsung C&T	KR	Y	KRX	207940	KR7207940008	KRX Filings	Major biopharmaceutical CDMO within the Samsung Group.
America Movil SAB de CV	América Móvil, S.A.B. de C.V.	América Móvil, S.A.B. de C.V.	MX	Y	BMV	AMX	MXP001691213	BMV Filings	Mexican telecom giant controlled by the Slim family. Spun off Sitios Latinoamérica in 2022.
Qatar National Bank	Qatar National Bank (Q.P.S.C.)	Qatar Investment Authority	QA	Y	QSE	QNBK	QA0006929895	QSE Filings	Largest commercial bank in the Middle East and Africa. 50% state-owned.
ING Group NV	ING Groep N.V.	ING Groep N.V.	NL	Y	Euronext Amsterdam	INGA	NL0011821202	Euronext	Global Dutch bank. Traces roots to NMB Postbank and Nationale-Nederlanden merger.
Oracle Corporation	Oracle Corporation	Oracle Corporation	US	Y	NYSE	ORCL	US68389X1054	SEC Filings	Tech giant. Moved HQ from Redwood City, CA to Austin, TX in 2020.
Crocs Inc	Crocs, Inc.	Crocs, Inc.	US	Y	NASDAQ	CROX	US2270461096	SEC Filings	Global casual footwear brand; acquired HEYDUDE in Feb 2022.
Merck KGaA	Merck KGaA	E. Merck KG	DE	Y	XETRA	MRK	DE0006599905	Deutsche Börse	German science and technology company. Not to be confused with US-based Merck & Co. (MSD).
Mondelez International Inc	Mondelez International, Inc.	Mondelez International, Inc.	US	Y	NASDAQ	MDLZ	US6092071058	SEC Filings	Successor to Kraft Foods snacks business. Brands include Oreo, Cadbury, and Nabisco.
Eaton Corporation plc	Eaton Corporation plc	Eaton Corporation plc	IE	Y	NYSE	ETN	IE00B8KQN827	SEC Filings	Power management company headquartered in Dublin, Ireland (domiciled there since 2012).
CK Asset Holdings Limited	CK Asset Holdings Limited	Li Ka Shing Foundation	KY	Y	HKEX	1113	KYG2177B1014	HKEX Filings	Hong Kong real estate conglomerate; part of the CK Hutchison ecosystem.
AMD	Advanced Micro Devices, Inc.	Advanced Micro Devices, Inc.	US	Y	NASDAQ	AMD	US0079031078	SEC Filings	Major semiconductor manufacturer; acquired Xilinx in 2022.
CLP Holdings Limited	CLP Holdings Limited	CLP Holdings Limited	HK	Y	HKEX	2	HK0002007356	HKEX Filings	China Light and Power; one of the two main electricity generators in Hong Kong.
GE Aerospace	General Electric Company	General Electric Company	US	Y	NYSE	GE	US3696043013	SEC Filings	Primary remaining business of GE after spinning off GE HealthCare (2023) and GE Vernova (2024).
HSBC	HSBC Holdings plc	HSBC Holdings plc	GB	Y	LSE	HSBA	GB0005405286	LSE Filings	One of the world's largest banking groups. Domiciled in the UK; major operations in Hong Kong.
Siemens	Siemens AG	Siemens AG	DE	Y	XETRA	SIE	DE0007236101	Deutsche Börse	Largest industrial manufacturing company in Europe. Spun off Siemens Energy in 2020.
Alibaba Group	Alibaba Group Holding Limited	Alibaba Group Holding Limited	KY	Y	HKEX	9988	KYG017191142	HKEX Filings	E-commerce and cloud giant. Reorganized into six business groups in 2023.
Zurich Insurance Group	Zurich Insurance Group AG	Zurich Insurance Group AG	CH	Y	SIX	ZURN	CH0011075394	SIX Filings	Swiss insurance giant. Operates globally in over 200 countries and territories.
Unilever plc	Unilever plc	Unilever plc	GB	Y	LSE	ULVR	GB00BVZK7T90	LSE Filings	Unified under a single British parent (Unilever plc) in Nov 2020, ending dual-headed structure.
Berkshire Hathaway	Berkshire Hathaway Inc.	Berkshire Hathaway Inc.	US	Y	NYSE	BRK.B	US0846707026	SEC Filings	Diverse conglomerate led by Warren Buffett (Chairman) and Greg Abel (CEO as of 2026).
LVMH	LVMH Moët Hennessy Louis Vuitton SE	Financière Agache (Arnault Family)	FR	Y	Euronext Paris	MC	FR0000121014	Euronext	Leading luxury goods group. Includes Louis Vuitton, Dior, and Tiffany & Co.
Novartis AG	Novartis AG	Novartis AG	CH	Y	SIX	NOVN	CH0012005267	SIX Filings	Global pharma company. Spun off Alcon (2019) and Sandoz (2023).
Rio Tinto Group	Rio Tinto plc	Rio Tinto plc	GB	Y	LSE	RIO	GB0007188757	LSE Filings	Dual-listed structure (PLC in UK, Ltd in AU). This record represents the UK parent.
Ping An Insurance	Ping An Insurance (Group) Company of China, Ltd.	Charoen Pokphand / Shenzhen Investment	CN	Y	HKEX	2318	CNE1000003X6	HKEX Filings	Chinese conglomerate; world's most valuable insurance brand as of 2024.
Sony Group Corporation	Sony Group Corporation	Sony Group Corporation	JP	Y	Tokyo Stock Exchange	6758	JP3435000009	JPX Filings	Conglomerate. Renamed from Sony Corporation in 2021 to separate the group from electronics.
Volkswagen AG	Volkswagen Aktiengesellschaft	Porsche Automobil Holding SE	DE	Y	XETRA	VOW3	DE0007664039	Deutsche Börse	Parent of Audi, Porsche, Bentley, etc. Controlled by the Porsche-Piëch family.
UBS Group AG	UBS Group AG	UBS Group AG	CH	Y	SIX	UBSG	CH0244767585	SIX Filings	Swiss banking giant. Completed acquisition of Credit Suisse in 2023.
Deutsche Bank AG	Deutsche Bank Aktiengesellschaft	Deutsche Bank Aktiengesellschaft	DE	Y	XETRA	DBK	DE0005140008	Deutsche Börse	Largest German banking group. Operates in nearly 60 countries.
